@metric_space hamming	
item1	1010111010100100001010110000100100001001000100011101100011100000
item2	0010111010100100011011110001100010011001000000011101100001100000
item3	0010101010100000001000110101100101011001000100111100100001100100
item4	0010111010100100001010110001100000011001000110010101100001100100
item5	0010111000100100001010110011100000011001000101010101100001100100
item16	0010111010100100101010110101100000011001100100111101100001101100
item17	0010111010100100001010100011101000111001000100011101110011100100
item18	0010111010110100001010110101100000010001000100011101100000100100
item19	0010111110100000000010110000100000011001000100011101100001100000
item20	0010111010100100101010010001100000011001000101011111100001100100
item21	0010111010110100001010101001000000011001000101011101100001100100
item22	0010110010100000001010110001100000011000001100011001101001100000
item23	1010111010000010011010110000100100011001000101011110010001110100
item24	0010111010100110001010110001100000111001000001011100100011100100
item25	0010100010100100001010110001100000011001000100011101100001001100
item979	0001000000110010001011100111111001011100011001100100001011000111
item980	0001100000100010001010101011101001011100011001110110001011000111
item981	0001000000100010001001110111101001111100011001110100001011000110
item982	0001110000000010011010100110101001011100010101010100001010000111
item983	0011100000100010000010100101100001011100011001110100001011000111
item984	0000000001100010001010100111100001001101011000110100000001000111
item985	0000100000000010001010100111101101011101011001110100001011001111
item986	0001000000100010001010001111101001011100011001010100101010010111
item987	0001000000100010001110100001101001011101111101100100001011000101
item988	0001000000000110001010100111101001011100001001110101001111000111
item989	0001010010100010001010101111101001011100011001110100001011000111
item990	1101001001100010001010100110101000011110011001110100101011100111
item991	0001000000100011001010100111101001011100011001110100001011000111
item992	0001000000001010011010100111100001011000110010111100001011000101
item993	0001000000100010001110101101101001011100011001010100001011001111
item994	0001100000000011001010100111001001011100011001110100001011000111
item995	0001000001110000000010100111001001011100011001110100001011000111
item996	0001000000100010001010100111100001011100011000110100001011000010
item997	1001000000100000001000100111110000011100011001110101000011100111
item998	0001000000110010101110100101011001111010001011111100001111001101
item999	0001000010001010001010100011101001011101000001110101011011000111
item1000	0101000000010010001010100111101101011100010001110001000011001011
